"Journ�e du 01/01/2013"																																	
"Donn�es d�finitives - France"																																	
"Heures"	"Consommation"	"Pr�vision J-1"	"Pr�vision J"	"Fioul"	"Charbon"	"Gaz"	"Nucl�aire"	"Eolien"	"Solaire"	"Hydraulique"	"Pompage"	"Enr thermique"	"Ech. physiques"	"Taux de Co2"	"Ech. comm. Allemagne"	"Ech. comm. Angleterre"	"Ech. comm. Belgique"	"Ech. comm. Espagne"	"Ech. comm. Italie"	"Ech. comm. Suisse"	"Fioul - TAC"	"Fioul - Cog�n."	"Fioul - Autres"	"Gaz - TAC"	"Gaz - Cog�n."	"Gaz - CCG"	"Gaz - Autres"	"Hydraulique - Fil de l?eau + �clus�e"	"Hydraulique - Lacs"	"Hydraulique - STEP turbinage"	"EnR thermique - D�chets"	"EnR thermique - Biomasse"	"EnR thermique - Biogaz"
"00:00"	61194	60300	60200	482	0	3543	51412	4390	0	7333	-3	717	-6680	32	1150	-1500	-2502	-1100	-874	-1719	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"	"ND"
"00:15"		59900	59450																														
"00:30"	59674	59500	58700	473	-31	3448	50485	4178	0	7528	-19	771	-7159	34							28	291	153	-3	2858	499	94	5555	1214	758	478	130	161
"00:45"		58500	57700																														
"01:00"	57877	57500	56700	472	-32	3231	50070	4045	0	7136	-932	761	-6876	34	1200	-1500	-2608	-1300	-874	-1774	28	291	153	-3	2861	279	94	5582	963	591	475	126	159
"01:15"		57650	57050																														
"01:30"	57755	57800	57400	473	-31	3240	50425	3967	0	6704	-977	763	-6809	34							28	291	153	-4	2866	284	94	5453	735	515	477	125	160
"01:45"		57700	57300																														
"02:00"	57243	57600	57200	472	-31	3230	50247	3906	0	6385	-979	768	-6755	34	1200	-1500	-2600	-1300	-874	-1467	28	291	152	-3	2860	279	94	5420	752	212	486	123	159
"02:15"		57000	56400																														
"02:30"	56660	56400	55600	472	-31	3224	49890	3822	0	6150	-1057	764	-6574	34							28	291	153	-4	2853	281	94	5261	688	199	479	124	160
"02:45"		55650	54500																														
"03:00"	54376	54900	53400	472	-30	3224	48668	3653	0	5705	-1542	766	-6541	36	1200	-1500	-2487	-1298	-873	-1312	28	291	153	-4	2853	280	94	5185	520	0	480	125	160
"03:15"		54050	52500																														
"03:30"	52640	53200	51600	472	-31	3230	47013	3597	0	5616	-1860	767	-6165	37							28	291	153	-1	2856	280	94	5138	477	0	483	124	159
"03:45"		52500	50750																														
"04:00"	50796	51800	49900	471	-31	3226	46219	3577	0	5624	-2781	739	-6248	38	1200	-1500	-2388	-1296	-874	-978	28	291	152	-1	2855	278	94	5161	463	0	454	124	159
"04:15"		51250	49400																														
"04:30"	49860	50700	48900	472	-31	3234	45092	3552	0	5597	-2956	739	-5840	39							28	291	152	-1	2862	279	94	5166	431	0	454	125	158
"04:45"		50300	48500																														
"05:00"	49040	49900	48100	471	-30	3221	44438	3504	0	5559	-3132	739	-5730	39	1200	-1500	-2310	-1296	-874	-910	28	291	151	-1	2864	264	94	5109	450	0	454	125	159
"05:15"		49750	48150																														
"05:30"	49021	49600	48200	465	-32	3214	44325	3399	0	5646	-3128	739	-5608	39							28	291	146	-1	2866	254	94	5037	609	0	455	125	159
"05:45"		49450	48050																														
"06:00"	48633	49300	47900	467	-29	3212	43968	3356	0	5614	-3122	739	-5570	40	1200	-1499	-2119	-1296	-874	-680	28	291	148	-1	2863	256	94	4986	627	0	455	124	159
"06:15"		49150	47950																														
"06:30"	48923	49000	48000	466	-31	3216	43823	3370	0	5633	-3120	737	-5172	40							28	291	147	-1	2865	257	94	4992	641	0	452	126	158
"06:45"		49000	47950																														
"07:00"	48738	49000	47900	465	-32	3215	43835	3358	0	5538	-3111	730	-5260	39	1174	-1499	-1912	-1297	-874	-448	28	291	146	-1	2864	258	94	4991	546	0	447	125	157
"07:15"		49000	48000																														
"07:30"	48709	49000	48100	464	-32	3219	43260	3322	0	5684	-3131	726	-4803	40							27	291	145	-1	2861	265	94	5085	599	0	445	124	155
"07:45"		49150	48100																														
"08:00"	48781	49300	48100	468	-32	3242	43449	3323	0	5651	-3134	729	-4916	40	-12	-1001	-1679	-1300	-874	-952	28	291	149	-1	2865	284	94	5096	555	0	449	123	156
